Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2017-12-19,High sea - Within EEZ,Malta,Malta - MSIU,4976/2017,Less Serious,29°37.5' N,87°57.7' W,No,09:00,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Engine department - Auxiliary engine room,Normal service - In passage - Displacement mode,0,0,No routeing system,Transit,No,,,Cargo ship - Liquid Cargo - Combination carrier,HONDURAS - Puerto Cortes,UNITED STATES - US - Pascagoula,Damage / loss of equipment,,,No
2018-01-04,Internal waters - Channel; river,Sweden,Sweden - SHK,132/2018,Marine incident,59°11.084' N,17°38.611' E,No,23:20,0,0,SWEDEN - Sodertalje,Not Investigated,Yes,Sweden - Svenska Högarna - Huvudskär,,No damage,No,No,No,Engine department - Engine room,Normal service - Under pilotage,0,0,No routeing system,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,POLAND - Gdansk,SWEDEN - Koping,Loss of control - Loss of propulsion power,,,No
2018-01-04,Internal waters - Channel; river,Sweden,Sweden - SHK,132/2018,Marine incident,59°11.084' N,17°38.611' E,No,23:20,0,0,SWEDEN - Sodertalje,Not Investigated,Yes,Sweden - Svenska Högarna - Huvudskär,,No damage,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0,0,No routeing system,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,POLAND - Gdansk,SWEDEN - Koping,Loss of control - Loss of propulsion power,,,No
2018-01-03,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,67/2018,Marine incident,50°53.039' N,1°23.304' W,No,12:00,0,0,UNITED KINGDOM - Southampton,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Engine department - Engine room,Unknown,0,0,Unknown,Unknown,No,,,Service ship - Tug (Towing/Pushing),Unknown,Unknown,Fire/Explosion - Fire,,,No
2017-12-17,High sea - Outside EEZ,Norway,Norway - NSIA,5021/2017,Less Serious,73°49' N,17°58' E,No,22:45,0,1,,Not Investigated,Yes,,,,,,,Ship - Unknown,Fishing - Fishing,,,,Transit,,,,Fishing vessel - Trawler,NORWAY - Tromso,Unknown,,Deviation by overflow; overturn; leak; flow; vaporisation; emission - Liquid state - leaking; oozing; flowing; splashing; spraying,Accident,
2018-01-11,High sea - n/a,Cyprus,Cyprus - MAIC,2018/0001125,Less Serious,67°50' N,1°32' W,No,07:35,0,0,,Not Investigated,Yes,,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Bridge - Other space,Normal service - In passage - Displacement mode,0.000,0.000,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,NORWAY - Leirpollen,ICELAND - Grundartangi,Damage / loss of equipment,,,No
2017-12-19,Internal waters - Port area,Malta,Malta - MSIU,4978/2017,Less Serious,37°50.73' S,144°55.82' E,No,17:30,0,0,AUSTRALIA - Melbourne,Not Investigated,Yes,,,,,,,Ship - Other,Normal service - Alongside,,,Pilotage area,Anchored or alongside,,,,Passenger ship - Only passenger - International,AUSTRALIA - Melbourne,AUSTRALIA - Sydney,,Body movement under or with physical stress (generally leading to an internal injury) - Lifting; carrying; standing up,Accident,
2017-12-19,Internal waters - Port area,Malta,Malta - MSIU,4978/2017,Less Serious,37°50.73' S,144°55.82' E,No,17:30,0,0,AUSTRALIA - Melbourne,Not Investigated,Yes,,,,,,,Ship - Other,Normal service - Maintenance,,,Pilotage area,Anchored or alongside,,,,Passenger ship - Only passenger - International,AUSTRALIA - Melbourne,AUSTRALIA - Sydney,,Body movement under or with physical stress (generally leading to an internal injury) - Lifting; carrying; standing up,Accident,
2017-12-19,Internal waters - Port area,Malta,Malta - MSIU,4978/2017,Less Serious,37°50.73' S,144°55.82' E,No,17:30,0,0,AUSTRALIA - Melbourne,Not Investigated,Yes,,,,,,,Ship - Other,Normal service - Embarking/disembarking people,,,Pilotage area,Anchored or alongside,,,,Passenger ship - Only passenger - International,AUSTRALIA - Melbourne,AUSTRALIA - Sydney,,Body movement under or with physical stress (generally leading to an internal injury) - Lifting; carrying; standing up,Accident,
2018-01-14,High sea - Within EEZ,United Kingdom,United Kingdom - MAIB,165/2018,Marine incident,54°5.05' N,0°48.05' E,No,12:14,0,0,None,Not Investigated,Yes,,,No damage,No,No,No,Engine department - Engine room,Normal service - In passage,0,0,No routeing system,Mid-water,No,,,Service ship - Special purpose ship,UNITED KINGDOM - Lowestoft,UNITED KINGDOM - Lowestoft,Fire/Explosion - Fire,,,No
2017-12-26,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,5004/2017,Less Serious,37°39' S,176°11' E,No,17:00,0,1,NEW ZEALAND - Tauranga,Not Investigated,Yes,,,,,,,Accommodation - Galley spaces,Normal service - Alongside,,,No routeing system,Anchored or alongside,,,,Passenger ship - Only passenger - Domestic - Class A,Unknown,Unknown,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,
2018-01-14,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,163/2018,Less Serious,54°5.65' N,3°13.43' W,No,21:48,0,0,UNITED KINGDOM - Barrow in Furness,Not Investigated,Yes,United Kingdom - England,,Material damage,No,No,No,Ship - Over side,Normal service - Under pilotage,0,0,No routeing system,Arrival,No,,,Service ship - Special purpose ship,UNITED KINGDOM - Other,UNITED KINGDOM - Barrow in Furness,Contact - Shore object,,,No
2017-12-18,Territorial sea,United Kingdom,United Kingdom - MAIB,4868/2017,Less Serious,54°21.892' N,3°38.252' W,No,00:10,0,0,,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Engine department - Engine room,Fishing - Fishing,0,0,No routeing system,Mid-water,No,,,Fishing vessel - Trawler - Stern,UNITED KINGDOM - Maryport,UNITED KINGDOM - Maryport,Loss of control - Loss of propulsion power,,,No
2017-12-26,Internal waters - Port area,Malta,Malta - MSIU,125/2018,Serious,20°38.26' S,116°42.86' E,No,02:33,0,0,AUSTRALIA - Dampier,Finished,Yes,,,Material damage,No,No,No,Engine department - Engine room,Normal service - Alongside,0,0,Pilotage area,Anchored or alongside,No,9248526,CAPRI,Cargo ship - Solid Cargo - Bulk Carrier,CHINA - Tianjin,AUSTRALIA - Dampier,Damage / loss of equipment,,,No
