zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_34.5_-7.5,2024,1,2024-S1,Stable,59.9,32.5,7.6,59.9,Stable,True
z_34.5_-7.5,2024,2,2024-S2,Stable,74.8,19.9,5.3,74.8,Stable,True
z_34.5_-7.5,2025,1,2025-S1,Stable,84.7,8.2,7.1,84.7,Stable,True
z_34.5_-7.5,2025,2,2025-S2,Stable,95.0,2.2,2.8,95.0,Stable,True
z_34.5_0.0,2023,1,2023-S1,Stable,96.9,1.1,2.0,96.9,Stable,True
z_34.5_0.0,2023,2,2023-S2,Stable,98.0,0.4,1.5,98.0,Stable,True
z_34.5_0.0,2024,1,2024-S1,Stable,86.1,11.1,2.8,86.1,Stable,True
z_34.5_0.0,2024,2,2024-S2,Stable,97.5,0.9,1.6,97.5,Stable,True
z_34.5_0.0,2025,1,2025-S1,Stable,92.2,5.4,2.4,92.2,Stable,True
z_34.5_0.0,2025,2,2025-S2,Stable,98.1,0.1,1.7,98.1,Stable,True
z_34.5_12.0,2023,1,2023-S1,Diminution,82.1,7.8,82.1,10.1,Stable,False
z_34.5_12.0,2023,2,2023-S2,Stable,84.6,12.4,3.0,84.6,Stable,True
z_34.5_12.0,2024,1,2024-S1,Diminution,80.5,5.6,80.5,13.9,Diminution,True
z_34.5_12.0,2024,2,2024-S2,Stable,83.1,12.9,4.0,83.1,Stable,True
z_34.5_12.0,2025,1,2025-S1,Diminution,65.0,18.2,65.0,16.7,Diminution,True
z_34.5_12.0,2025,2,2025-S2,Stable,52.2,43.4,4.4,52.2,Stable,True
z_34.5_13.5,2023,1,2023-S1,Augmentation,48.0,48.0,42.4,9.5,Stable,False
z_34.5_13.5,2023,2,2023-S2,Augmentation,61.3,61.3,32.1,6.6,Augmentation,True
z_34.5_13.5,2024,1,2024-S1,Augmentation,46.1,46.1,44.2,9.8,Augmentation,True
z_34.5_13.5,2024,2,2024-S2,Augmentation,65.2,65.2,28.6,6.2,Augmentation,True
z_34.5_13.5,2025,1,2025-S1,Augmentation,61.1,61.1,33.1,5.8,Augmentation,True
z_34.5_13.5,2025,2,2025-S2,Augmentation,66.4,66.4,27.1,6.5,Augmentation,True
z_34.5_16.5,2023,1,2023-S1,Stable,90.3,7.1,2.6,90.3,Stable,True
z_34.5_16.5,2024,1,2024-S1,Stable,98.6,0.2,1.2,98.6,Stable,True
z_34.5_16.5,2025,1,2025-S1,Stable,96.8,1.2,2.0,96.8,Stable,True
z_34.5_18.0,2023,1,2023-S1,Stable,98.9,0.1,1.0,98.9,Stable,True
z_34.5_18.0,2024,1,2024-S1,Stable,98.9,0.1,1.0,98.9,Stable,True
z_34.5_18.0,2025,1,2025-S1,Stable,96.0,2.0,2.1,96.0,Stable,True
z_34.5_19.5,2023,1,2023-S1,Stable,97.9,1.3,0.8,97.9,Stable,True
z_34.5_19.5,2023,2,2023-S2,Stable,98.8,0.1,1.1,98.8,Stable,True
z_34.5_19.5,2024,1,2024-S1,Stable,97.9,1.3,0.8,97.9,Stable,True
z_34.5_19.5,2024,2,2024-S2,Stable,98.4,0.8,0.8,98.4,Stable,True
z_34.5_19.5,2025,1,2025-S1,Stable,92.8,5.4,1.8,92.8,Stable,True
z_34.5_19.5,2025,2,2025-S2,Stable,99.0,0.1,0.9,99.0,Stable,True
z_34.5_22.5,2023,1,2023-S1,Stable,68.8,22.4,8.7,68.8,Augmentation,False
z_34.5_22.5,2023,2,2023-S2,Diminution,65.5,12.1,65.5,22.4,Stable,False
z_34.5_22.5,2024,1,2024-S1,Augmentation,46.3,46.3,9.1,44.7,Stable,False
z_34.5_22.5,2024,2,2024-S2,Diminution,69.3,15.4,69.3,15.4,Stable,False
z_34.5_22.5,2025,1,2025-S1,Stable,58.8,33.0,8.2,58.8,Stable,True
z_34.5_22.5,2025,2,2025-S2,Diminution,79.3,5.8,79.3,14.9,Stable,False
z_34.5_24.0,2023,1,2023-S1,Diminution,46.5,44.1,46.5,9.4,Stable,False
z_34.5_24.0,2023,2,2023-S2,Diminution,57.1,34.5,57.1,8.5,Stable,False
z_34.5_24.0,2024,1,2024-S1,Diminution,52.3,37.5,52.3,10.1,Stable,False
z_34.5_24.0,2024,2,2024-S2,Augmentation,49.7,49.7,42.4,7.9,Diminution,False
z_34.5_24.0,2025,1,2025-S1,Diminution,60.6,29.2,60.6,10.2,Diminution,True
z_34.5_24.0,2025,2,2025-S2,Diminution,63.9,27.9,63.9,8.1,Stable,False
z_34.5_25.5,2023,1,2023-S1,Diminution,69.8,5.0,69.8,25.2,Stable,False
z_34.5_25.5,2023,2,2023-S2,Stable,60.5,29.6,9.9,60.5,Stable,True
z_34.5_25.5,2024,1,2024-S1,Diminution,60.2,20.2,60.2,19.6,Diminution,True
z_34.5_25.5,2024,2,2024-S2,Stable,56.0,35.6,8.3,56.0,Stable,True
z_34.5_25.5,2025,1,2025-S1,Diminution,75.0,7.9,75.0,17.1,Stable,False
z_34.5_25.5,2025,2,2025-S2,Stable,71.7,18.9,9.4,71.7,Stable,True
z_34.5_27.0,2023,1,2023-S1,Stable,71.4,22.2,6.4,71.4,Stable,True
