economie,annee,type_navire,nombre_navires
Algerie,2015,Petroliers,9
Algerie,2015,Vraquiers,4
Algerie,2015,Navires de charge classique,16
Algerie,2015,Porte-conteneurs,0
Algerie,2015,Autres navires,87
Algerie,2016,Flotte totale,111
Algerie,2016,Petroliers,9
Algerie,2016,Vraquiers,4
Algerie,2016,Navires de charge classique,11
Algerie,2016,Porte-conteneurs,0
Algerie,2016,Autres navires,87
Algerie,2017,Flotte totale,111
Algerie,2017,Petroliers,10
Algerie,2017,Vraquiers,3
Algerie,2017,Navires de charge classique,13
Algerie,2017,Porte-conteneurs,0
Algerie,2017,Autres navires,85
Algerie,2018,Flotte totale,104
Algerie,2018,Petroliers,10
Algerie,2018,Vraquiers,0
Algerie,2018,Navires de charge classique,11
Algerie,2018,Porte-conteneurs,2
Algerie,2018,Autres navires,81
Algerie,2019,Flotte totale,114
Algerie,2019,Petroliers,10
Algerie,2019,Vraquiers,0
Algerie,2019,Navires de charge classique,11
Algerie,2019,Porte-conteneurs,2
Algerie,2019,Autres navires,91
Algerie,2020,Flotte totale,114
Algerie,2020,Petroliers,11
Algerie,2020,Vraquiers,1
Algerie,2020,Navires de charge classique,11
Algerie,2020,Porte-conteneurs,2
Algerie,2020,Autres navires,89
Algerie,2021,Flotte totale,114
Algerie,2021,Petroliers,11
Algerie,2021,Vraquiers,1
Algerie,2021,Navires de charge classique,11
Algerie,2021,Porte-conteneurs,2
Algerie,2021,Autres navires,89
Algerie,2022,Flotte totale,118
Algerie,2022,Petroliers,14
Algerie,2022,Vraquiers,1
Algerie,2022,Navires de charge classique,11
Algerie,2022,Porte-conteneurs,4
Algerie,2022,Autres navires,88
Algerie,2023,Flotte totale,118
Algerie,2023,Petroliers,14
Algerie,2023,Vraquiers,1
Algerie,2023,Navires de charge classique,11
Algerie,2023,Porte-conteneurs,4
Algerie,2023,Autres navires,88
Algerie,2024,Flotte totale,118
Algerie,2024,Petroliers,14
Algerie,2024,Vraquiers,1
Algerie,2024,Navires de charge classique,11
Algerie,2024,Porte-conteneurs,4
Algerie,2024,Autres navires,88
Algerie,2025,Flotte totale,118
Algerie,2025,Petroliers,14
Algerie,2025,Vraquiers,1
Algerie,2025,Navires de charge classique,11
Algerie,2025,Porte-conteneurs,4
Algerie,2025,Autres navires,88
Algerie,2026,Flotte totale,118
Algerie,2026,Petroliers,14
Algerie,2026,Vraquiers,1
Algerie,2026,Navires de charge classique,11
Algerie,2026,Porte-conteneurs,4
Algerie,2026,Autres navires,88
Angola,2011,Flotte totale,49
Angola,2011,Petroliers,8
Angola,2011,Vraquiers,0
Angola,2011,Navires de charge classique,15
Angola,2011,Porte-conteneurs,0
Angola,2011,Autres navires,26
Angola,2012,Flotte totale,43
Angola,2012,Petroliers,8
Angola,2012,Vraquiers,0
Angola,2012,Navires de charge classique,14
Angola,2012,Porte-conteneurs,0
Angola,2012,Autres navires,21
Angola,2013,Flotte totale,44
Angola,2013,Petroliers,8
Angola,2013,Vraquiers,0
Angola,2013,Navires de charge classique,14
Angola,2013,Porte-conteneurs,0
Angola,2013,Autres navires,22
Angola,2014,Flotte totale,49
Angola,2014,Petroliers,9
Angola,2014,Vraquiers,0
Angola,2014,Navires de charge classique,14
Angola,2014,Porte-conteneurs,0
Angola,2014,Autres navires,26
Angola,2015,Flotte totale,52
Angola,2015,Petroliers,9
Angola,2015,Vraquiers,0
Angola,2015,Navires de charge classique,14
Angola,2015,Porte-conteneurs,0
Angola,2015,Autres navires,29
Angola,2016,Flotte totale,55
Angola,2016,Petroliers,9
Angola,2016,Vraquiers,0
Angola,2016,Navires de charge classique,14
Angola,2016,Porte-conteneurs,0
Angola,2016,Autres navires,32
Angola,2017,Flotte totale,55
Angola,2017,Petroliers,8
Angola,2017,Vraquiers,0
Angola,2017,Navires de charge classique,14
Angola,2017,Porte-conteneurs,0
Angola,2017,Autres navires,33
Angola,2018,Flotte totale,55
Angola,2018,Petroliers,8
Angola,2018,Vraquiers,0
Angola,2018,Navires de charge classique,14
Angola,2018,Porte-conteneurs,0
Angola,2018,Autres navires,33
Angola,2019,Flotte totale,54
Angola,2019,Petroliers,8
Angola,2019,Vraquiers,0
Angola,2019,Navires de charge classique,13
Angola,2019,Porte-conteneurs,0
Angola,2019,Autres navires,33
Angola,2020,Flotte totale,54
Angola,2020,Petroliers,8
Angola,2020,Vraquiers,0
Angola,2020,Navires de charge classique,13
Angola,2020,Porte-conteneurs,0
Angola,2020,Autres navires,33
Angola,2021,Flotte totale,61
Angola,2021,Petroliers,8
Angola,2021,Vraquiers,0
Angola,2021,Navires de charge classique,13
Angola,2021,Porte-conteneurs,0
Angola,2021,Autres navires,40
Angola,2022,Flotte totale,64
Angola,2022,Petroliers,8
Angola,2022,Vraquiers,0
Angola,2022,Navires de charge classique,13
Angola,2022,Porte-conteneurs,0
Angola,2022,Autres navires,43
Angola,2023,Flotte totale,63
Angola,2023,Petroliers,7
Angola,2023,Vraquiers,0
Angola,2023,Navires de charge classique,13
Angola,2023,Porte-conteneurs,0
Angola,2023,Autres navires,43
Angola,2024,Flotte totale,63
Angola,2024,Petroliers,7
Angola,2024,Vraquiers,0
Angola,2024,Navires de charge classique,13
Angola,2024,Porte-conteneurs,0
Angola,2024,Autres navires,43
Angola,2025,Flotte totale,66
Angola,2025,Petroliers,7
Angola,2025,Vraquiers,0
Angola,2025,Navires de charge classique,15
Angola,2025,Porte-conteneurs,0
Angola,2025,Autres navires,44
Angola,2026,Flotte totale,69
Angola,2026,Petroliers,8
Angola,2026,Vraquiers,0
Angola,2026,Navires de charge classique,15
Angola,2026,Porte-conteneurs,0
Angola,2026,Autres navires,46
Anguilla,2011,Flotte totale,2
Anguilla,2011,Petroliers,0
Anguilla,2011,Vraquiers,0
Anguilla,2011,Navires de charge classique,2
Anguilla,2011,Porte-conteneurs,0
Anguilla,2011,Autres navires,0
Anguilla,2012,Flotte totale,1
Anguilla,2012,Petroliers,0
Anguilla,2012,Vraquiers,0
Anguilla,2012,Navires de charge classique,1
Anguilla,2012,Porte-conteneurs,0
Anguilla,2012,Autres navires,0
Anguilla,2013,Flotte totale,1
Anguilla,2013,Petroliers,0
Anguilla,2013,Vraquiers,0
Anguilla,2013,Navires de charge classique,1
Anguilla,2013,Porte-conteneurs,0
Anguilla,2013,Autres navires,0
Anguilla,2014,Flotte totale,1
Anguilla,2014,Petroliers,0
Anguilla,2014,Vraquiers,0
Anguilla,2014,Navires de charge classique,0
Anguilla,2014,Porte-conteneurs,0
Anguilla,2014,Autres navires,1
Anguilla,2015,Flotte totale,1
Anguilla,2015,Petroliers,0
Anguilla,2015,Vraquiers,0
Anguilla,2015,Navires de charge classique,0
Anguilla,2015,Porte-conteneurs,0
Anguilla,2015,Autres navires,1
Anguilla,2016,Flotte totale,1
Anguilla,2016,Petroliers,0
Anguilla,2016,Vraquiers,0
Anguilla,2016,Navires de charge classique,0
Anguilla,2016,Porte-conteneurs,0
Anguilla,2016,Autres navires,1
Anguilla,2017,Flotte totale,1
Anguilla,2017,Petroliers,0
Anguilla,2017,Vraquiers,0
Anguilla,2017,Navires de charge classique,0
Anguilla,2017,Porte-conteneurs,0
Anguilla,2017,Autres navires,1
Anguilla,2018,Flotte totale,1
Anguilla,2018,Petroliers,0
