zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_30.0_31.5,3,2023,3,Stable,54.8,27.1,18.1,54.8,Stable,True
z_30.0_31.5,4,2023,4,Stable,54.0,30.6,15.4,54.0,Stable,True
z_30.0_31.5,5,2023,5,Stable,51.7,32.3,15.9,51.7,Stable,True
z_30.0_31.5,6,2023,6,Stable,53.4,33.4,13.2,53.4,Stable,True
z_30.0_31.5,7,2023,7,Stable,54.0,34.6,11.4,54.0,Stable,True
z_30.0_31.5,8,2023,8,Stable,56.7,29.1,14.2,56.7,Stable,True
z_30.0_31.5,9,2023,9,Stable,52.8,32.3,14.9,52.8,Stable,True
z_30.0_31.5,10,2023,10,Stable,57.5,28.6,13.9,57.5,Stable,True
z_30.0_31.5,11,2023,11,Stable,58.9,25.9,15.2,58.9,Stable,True
z_30.0_31.5,12,2023,12,Stable,56.0,28.3,15.7,56.0,Stable,True
z_30.0_31.5,1,2024,1,Stable,58.3,26.8,15.0,58.3,Stable,True
z_30.0_31.5,2,2024,2,Stable,56.9,27.8,15.2,56.9,Stable,True
z_30.0_31.5,3,2024,3,Stable,52.3,31.4,16.3,52.3,Stable,True
z_30.0_31.5,4,2024,4,Stable,55.6,28.0,16.4,55.6,Stable,True
z_30.0_31.5,5,2024,5,Stable,55.5,27.5,16.9,55.5,Stable,True
z_30.0_31.5,6,2024,6,Stable,48.5,41.0,10.5,48.5,Stable,True
z_30.0_31.5,7,2024,7,Stable,49.9,38.5,11.6,49.9,Stable,True
z_30.0_31.5,8,2024,8,Stable,55.9,31.7,12.4,55.9,Stable,True
z_30.0_31.5,9,2024,9,Stable,56.3,29.4,14.4,56.3,Stable,True
z_30.0_31.5,10,2024,10,Stable,52.0,33.8,14.2,52.0,Stable,True
z_30.0_31.5,11,2024,11,Stable,57.8,28.0,14.3,57.8,Stable,True
z_30.0_31.5,12,2024,12,Stable,59.0,26.2,14.9,59.0,Stable,True
z_30.0_31.5,1,2025,1,Stable,59.0,25.1,15.9,59.0,Stable,True
z_30.0_31.5,2,2025,2,Stable,55.8,29.1,15.2,55.8,Stable,True
z_30.0_31.5,3,2025,3,Stable,56.7,27.2,16.1,56.7,Stable,True
z_30.0_31.5,4,2025,4,Stable,56.7,26.6,16.7,56.7,Stable,True
z_30.0_31.5,5,2025,5,Stable,55.4,26.7,17.9,55.4,Stable,True
z_30.0_31.5,6,2025,6,Stable,50.2,36.6,13.2,50.2,Stable,True
z_30.0_31.5,7,2025,7,Stable,49.6,39.1,11.3,49.6,Stable,True
z_30.0_31.5,8,2025,8,Stable,50.6,39.5,9.9,50.6,Stable,True
z_30.0_31.5,9,2025,9,Stable,57.6,27.1,15.3,57.6,Stable,True
z_30.0_31.5,10,2025,10,Stable,56.5,29.3,14.2,56.5,Stable,True
z_30.0_31.5,11,2025,11,Stable,57.6,27.2,15.2,57.6,Stable,True
z_30.0_31.5,12,2025,12,Stable,55.0,31.0,14.0,55.0,Stable,True
z_31.5_-15.0,1,2023,1,Stable,67.9,28.7,3.4,67.9,Stable,True
z_31.5_-15.0,10,2023,10,Stable,65.6,31.6,2.8,65.6,Stable,True
z_31.5_-15.0,1,2024,1,Stable,67.9,28.7,3.4,67.9,Stable,True
z_31.5_-15.0,10,2024,10,Stable,64.8,32.5,2.7,64.8,Stable,True
z_31.5_-15.0,1,2025,1,Stable,67.9,28.7,3.4,67.9,Stable,True
z_31.5_-15.0,10,2025,10,Stable,65.6,31.6,2.8,65.6,Stable,True
z_31.5_-18.0,1,2023,1,Stable,63.0,27.8,9.3,63.0,Stable,True
z_31.5_-18.0,2,2023,2,Stable,61.8,29.1,9.1,61.8,Stable,True
z_31.5_-18.0,3,2023,3,Stable,61.0,27.7,11.2,61.0,Diminution,False
z_31.5_-18.0,4,2023,4,Stable,61.3,27.9,10.8,61.3,Stable,True
z_31.5_-18.0,6,2023,6,Stable,57.3,33.7,9.0,57.3,Stable,True
z_31.5_-18.0,7,2023,7,Stable,54.2,38.5,7.3,54.2,Stable,True
z_31.5_-18.0,9,2023,9,Stable,61.3,29.6,9.1,61.3,Stable,True
z_31.5_-18.0,10,2023,10,Stable,62.2,30.0,7.8,62.2,Stable,True
z_31.5_-18.0,11,2023,11,Stable,63.0,28.6,8.4,63.0,Stable,True
z_31.5_-18.0,1,2024,1,Stable,63.7,27.4,8.8,63.7,Stable,True
z_31.5_-18.0,2,2024,2,Stable,62.1,28.3,9.6,62.1,Stable,True
z_31.5_-18.0,3,2024,3,Stable,61.0,27.7,11.2,61.0,Diminution,False
z_31.5_-18.0,4,2024,4,Stable,60.3,28.4,11.2,60.3,Stable,True
z_31.5_-18.0,6,2024,6,Stable,57.3,33.7,9.0,57.3,Stable,True
z_31.5_-18.0,7,2024,7,Stable,54.1,39.0,7.0,54.1,Stable,True
