zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_37.5_-22.5,2023,Diminution,88.1,1.6,88.1,10.3,Stable,False
z_37.5_-22.5,2024,Diminution,71.6,7.7,71.6,20.7,Diminution,True
z_37.5_-22.5,2025,Diminution,83.8,2.9,83.8,13.3,Stable,False
z_37.5_-25.5,2023,Diminution,61.3,13.1,61.3,25.5,Diminution,True
z_37.5_-25.5,2024,Diminution,77.3,5.1,77.3,17.5,Diminution,True
z_37.5_-25.5,2025,Diminution,66.5,9.2,66.5,24.3,Stable,False
z_37.5_-27.0,2023,Stable,47.3,25.6,27.1,47.3,Diminution,False
z_37.5_-27.0,2024,Stable,48.7,29.3,21.9,48.7,Diminution,False
z_37.5_-27.0,2025,Stable,50.7,21.3,28.0,50.7,Augmentation,False
z_37.5_-28.5,2023,Augmentation,36.3,36.3,32.8,30.9,Stable,False
z_37.5_-28.5,2024,Diminution,40.7,22.1,40.7,37.2,Augmentation,False
z_37.5_-28.5,2025,Diminution,40.9,19.5,40.9,39.7,Stable,False
z_37.5_-30.0,2023,Diminution,50.0,12.9,50.0,37.1,Diminution,True
z_37.5_-30.0,2024,Diminution,45.8,15.3,45.8,38.9,Diminution,True
z_37.5_-30.0,2025,Diminution,45.8,15.3,45.8,38.9,Stable,False
z_37.5_-9.0,2023,Augmentation,45.3,45.3,21.6,33.1,Augmentation,True
z_37.5_-9.0,2024,Augmentation,52.4,52.4,18.2,29.4,Stable,False
z_37.5_-9.0,2025,Augmentation,48.0,48.0,19.0,33.0,Diminution,False
z_37.5_0.0,2023,Augmentation,43.1,43.1,20.3,36.6,Stable,False
z_37.5_0.0,2024,Augmentation,43.3,43.3,18.5,38.2,Diminution,False
z_37.5_0.0,2025,Augmentation,42.6,42.6,18.3,39.1,Diminution,False
z_37.5_1.5,2023,Diminution,65.3,6.2,65.3,28.5,Diminution,True
z_37.5_1.5,2024,Diminution,55.7,5.0,55.7,39.3,Diminution,True
z_37.5_1.5,2025,Diminution,65.1,5.4,65.1,29.5,Stable,False
z_37.5_10.5,2023,Stable,57.5,19.9,22.6,57.5,Stable,True
z_37.5_10.5,2024,Diminution,33.8,30.4,33.8,35.7,Diminution,True
z_37.5_10.5,2025,Diminution,35.8,22.2,35.8,42.1,Stable,False
z_37.5_12.0,2023,Augmentation,40.0,40.0,22.1,37.9,Augmentation,True
z_37.5_12.0,2024,Augmentation,51.8,51.8,17.1,31.1,Diminution,False
z_37.5_12.0,2025,Augmentation,46.7,46.7,21.4,31.9,Stable,False
z_37.5_13.5,2023,Stable,46.7,33.6,19.7,46.7,Augmentation,False
z_37.5_13.5,2024,Augmentation,47.1,47.1,16.8,36.1,Augmentation,True
z_37.5_13.5,2025,Stable,50.1,38.5,11.4,50.1,Augmentation,False
z_37.5_15.0,2023,Augmentation,36.9,36.9,28.3,34.8,Augmentation,True
z_37.5_15.0,2024,Augmentation,42.8,42.8,25.6,31.7,Augmentation,True
z_37.5_15.0,2025,Augmentation,53.3,53.3,20.9,25.8,Stable,False
z_37.5_16.5,2023,Augmentation,39.2,39.2,25.5,35.3,Diminution,False
z_37.5_16.5,2024,Stable,53.8,20.7,25.5,53.8,Diminution,False
z_37.5_16.5,2025,Augmentation,40.3,40.3,23.6,36.1,Augmentation,True
z_37.5_19.5,2023,Augmentation,40.1,40.1,24.7,35.2,Stable,False
z_37.5_19.5,2024,Augmentation,52.4,52.4,21.1,26.4,Stable,False
z_37.5_19.5,2025,Augmentation,52.0,52.0,16.6,31.4,Stable,False
z_37.5_21.0,2023,Stable,46.9,34.0,19.1,46.9,Augmentation,False
z_37.5_21.0,2024,Augmentation,42.0,42.0,17.2,40.8,Stable,False
z_37.5_21.0,2025,Stable,50.6,33.5,16.0,50.6,Diminution,False
z_37.5_22.5,2023,Stable,58.1,30.1,11.8,58.1,Stable,True
z_37.5_22.5,2024,Stable,63.0,27.0,10.0,63.0,Augmentation,False
z_37.5_22.5,2025,Stable,58.2,35.4,6.4,58.2,Diminution,False
z_37.5_24.0,2023,Augmentation,50.0,50.0,25.4,24.6,Stable,False
