zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_33.0_-9.0,2023,4,2023-T4,Diminution,68.2,16.3,68.2,15.5,Diminution,True
z_33.0_-9.0,2024,1,2024-T1,Stable,47.8,17.4,34.8,47.8,Stable,True
z_33.0_-9.0,2024,2,2024-T2,Stable,43.1,17.4,39.5,43.1,Stable,True
z_33.0_-9.0,2024,3,2024-T3,Stable,46.2,11.0,42.8,46.2,Diminution,False
z_33.0_-9.0,2024,4,2024-T4,Diminution,53.4,21.7,53.4,24.9,Diminution,True
z_33.0_-9.0,2025,1,2025-T1,Stable,57.9,9.1,33.0,57.9,Diminution,False
z_33.0_-9.0,2025,2,2025-T2,Diminution,52.6,8.1,52.6,39.3,Diminution,True
z_33.0_-9.0,2025,3,2025-T3,Diminution,68.8,5.9,68.8,25.3,Augmentation,False
z_33.0_-9.0,2025,4,2025-T4,Diminution,50.8,26.5,50.8,22.7,Diminution,True
z_33.0_10.5,2023,1,2023-T1,Diminution,90.2,2.3,90.2,7.5,Diminution,True
z_33.0_10.5,2024,1,2024-T1,Diminution,90.2,2.3,90.2,7.5,Diminution,True
z_33.0_10.5,2025,1,2025-T1,Diminution,90.2,2.3,90.2,7.5,Diminution,True
z_33.0_18.0,2023,3,2023-T3,Diminution,90.9,1.9,90.9,7.2,Diminution,True
z_33.0_18.0,2024,3,2024-T3,Diminution,90.9,1.9,90.9,7.2,Stable,False
z_33.0_18.0,2025,3,2025-T3,Diminution,84.0,1.7,84.0,14.3,Diminution,True
z_33.0_25.5,2023,2,2023-T2,Diminution,89.3,2.3,89.3,8.4,Diminution,True
z_33.0_25.5,2024,2,2024-T2,Diminution,89.3,2.3,89.3,8.4,Stable,False
z_33.0_25.5,2025,2,2025-T2,Diminution,80.6,2.0,80.6,17.5,Diminution,True
z_34.5_-1.5,2023,1,2023-T1,Diminution,74.4,7.0,74.4,18.6,Diminution,True
z_34.5_-1.5,2023,2,2023-T2,Diminution,80.7,9.7,80.7,9.6,Augmentation,False
