zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_34.5_-1.5,9,2025,9,Stable,97.2,0.6,2.2,97.2,Stable,True
z_34.5_-10.5,3,2023,3,Stable,97.3,0.6,2.1,97.3,Stable,True
z_34.5_-10.5,11,2023,11,Stable,97.3,0.5,2.2,97.3,Stable,True
z_34.5_-10.5,3,2024,3,Stable,97.3,0.6,2.1,97.3,Stable,True
z_34.5_-10.5,11,2024,11,Stable,97.3,0.5,2.2,97.3,Stable,True
z_34.5_-10.5,3,2025,3,Stable,95.4,1.0,3.7,95.4,Stable,True
z_34.5_-10.5,11,2025,11,Stable,97.3,0.5,2.2,97.3,Stable,True
z_34.5_-4.5,1,2023,1,Diminution,89.6,0.3,89.6,10.1,Diminution,True
z_34.5_-4.5,4,2023,4,Stable,96.2,0.9,2.8,96.2,Stable,True
z_34.5_-4.5,5,2023,5,Stable,97.3,0.7,2.0,97.3,Stable,True
z_34.5_-4.5,6,2023,6,Stable,95.8,2.3,1.9,95.8,Stable,True
z_34.5_-4.5,7,2023,7,Stable,91.6,3.4,5.1,91.6,Stable,True
